label,t_ms,ax,ay,az
off,4271975,0.000610,-0.014893,1.004150
off,4271995,0.001221,-0.015259,1.003784
off,4272015,0.000488,-0.014404,1.003784
off,4272035,0.001221,-0.015137,1.003662
off,4272055,0.000244,-0.014771,1.004639
off,4272075,0.000488,-0.014893,1.003784
off,4272095,0.000122,-0.014404,1.004150
off,4272115,0.000732,-0.014893,1.003906
off,4272135,0.000244,-0.015747,1.004150
off,4272155,0.000732,-0.015015,1.004517
off,4272175,0.000610,-0.014771,1.004517
off,4272195,0.000366,-0.013916,1.003784
off,4272215,0.000610,-0.014648,1.003906
off,4272235,0.000732,-0.015015,1.003662
off,4272255,0.000000,-0.014893,1.004272
off,4272275,0.000732,-0.014893,1.004883
off,4272295,0.000366,-0.015503,1.002808
off,4272315,0.000122,-0.015747,1.003540
off,4272335,0.001099,-0.014893,1.004272
off,4272355,0.000488,-0.015259,1.003784
off,4272375,0.000732,-0.014282,1.005127
off,4272395,0.000732,-0.014282,1.004150
off,4272415,0.000977,-0.014526,1.004517
off,4272435,0.000977,-0.015137,1.003784
off,4272455,0.000732,-0.015137,1.004272
off,4272475,0.000488,-0.015259,1.004517
off,4272495,0.000610,-0.014404,1.003540
off,4272515,0.000244,-0.014404,1.003418
off,4272535,0.000366,-0.014771,1.003052
off,4272555,0.000488,-0.013672,1.003540
off,4272575,0.000854,-0.015381,1.003052
off,4272595,0.001099,-0.015381,1.003296
off,4272615,0.000854,-0.014893,1.004028
off,4272635,0.000488,-0.015015,1.004028
off,4272655,0.000854,-0.014160,1.004639
off,4272675,0.000244,-0.014526,1.003540
off,4272695,0.000488,-0.014526,1.004883
off,4272715,0.000610,-0.014282,1.004395
off,4272735,0.000732,-0.014404,1.004639
off,4272755,0.000732,-0.014282,1.003662
off,4272775,0.000366,-0.015503,1.005005
off,4272795,0.000732,-0.014771,1.004395
off,4272815,0.000732,-0.015015,1.004639
off,4272835,0.000488,-0.014893,1.004639
off,4272855,0.000244,-0.014526,1.004517
off,4272875,0.000244,-0.015259,1.004517
off,4272895,0.000610,-0.014771,1.003784
off,4272915,0.000488,-0.015015,1.004395
off,4272935,0.000488,-0.014893,1.003296
off,4272955,0.000610,-0.015503,1.004517
off,4272975,0.000488,-0.014526,1.003784
off,4272995,0.000244,-0.014160,1.004150
off,4273015,0.001099,-0.014648,1.004272
off,4273035,0.000977,-0.015381,1.005005
off,4273055,0.000244,-0.014648,1.004150
off,4273075,0.000732,-0.014893,1.005249
off,4273095,0.000488,-0.015381,1.004028
off,4273115,0.000610,-0.014648,1.004883
off,4273135,0.000366,-0.015015,1.004150
off,4273155,0.000244,-0.014771,1.003418
off,4273175,0.000732,-0.014282,1.003784
off,4273195,0.000366,-0.014282,1.004150
off,4273215,0.001465,-0.014160,1.003906
off,4273235,0.000854,-0.014893,1.004639
off,4273255,0.000610,-0.014893,1.004150
off,4273275,0.000854,-0.015015,1.003296
