label,t_ms,ax,ay,az
dysfunction,5652535,0.007324,0.012085,0.983887
dysfunction,5652555,0.004639,0.018799,0.979492
dysfunction,5652575,0.251343,0.178833,1.204224
dysfunction,5652595,0.087524,0.169312,0.626953
dysfunction,5652615,-0.026855,0.032104,0.873291
dysfunction,5652635,0.021729,-0.003906,1.152222
dysfunction,5652655,0.003296,-0.001831,1.098755
dysfunction,5652675,0.004272,0.016968,0.945679
dysfunction,5652695,0.005737,0.018311,0.946655
dysfunction,5652715,-0.023437,0.006714,1.054199
dysfunction,5652735,-0.006836,0.012695,1.007324
dysfunction,5652755,0.010010,0.007446,1.013428
dysfunction,5652775,-0.018799,0.054077,0.723633
dysfunction,5652795,-0.018433,0.005981,0.824707
dysfunction,5652815,-0.102051,-0.035034,1.225220
dysfunction,5652835,-0.006836,-0.008667,1.118652
dysfunction,5652855,0.026733,0.039917,0.952026
dysfunction,5652875,0.034180,0.021973,0.976807
dysfunction,5652895,-0.003174,0.032471,0.952271
dysfunction,5652915,-0.001831,0.010620,0.995483
dysfunction,5652935,-0.003296,0.008301,1.040283
dysfunction,5652955,0.023071,0.004395,1.022705
dysfunction,5652975,0.053223,0.005371,1.091553
dysfunction,5652995,-0.104004,-0.035645,0.886108
dysfunction,5653015,-0.123657,-0.055786,0.768799
dysfunction,5653035,-0.085205,-0.143066,1.310791
dysfunction,5653055,-0.010498,0.051147,1.168579
dysfunction,5653075,0.137573,0.094727,1.051880
dysfunction,5653095,-0.114014,-0.102173,1.025757
dysfunction,5653115,-0.086304,-0.080566,0.989136
dysfunction,5653135,-0.001587,0.068970,0.936401
dysfunction,5653155,-0.021973,0.062622,0.906372
dysfunction,5653175,0.076538,0.063965,1.096069
dysfunction,5653195,0.077271,0.060669,1.085815
dysfunction,5653215,-0.022217,-0.068115,1.061890
dysfunction,5653235,-0.246948,-0.245117,1.379150
dysfunction,5653255,-0.083374,0.053467,0.716919
dysfunction,5653275,-0.019653,0.027344,1.030151
dysfunction,5653295,0.014771,0.035156,1.113403
