label,t_ms,ax,ay,az
normal,5218655,-0.041138,0.027222,0.913208
normal,5218675,-0.040161,0.021240,0.917725
normal,5218695,0.009155,0.075439,0.982422
normal,5218715,0.052979,-0.031494,1.103149
normal,5218735,0.056152,-0.026123,1.105713
normal,5218755,-0.031006,-0.005737,0.946533
normal,5218775,-0.027954,-0.011719,0.954834
normal,5218795,-0.014160,0.077515,0.938477
normal,5218815,-0.019775,0.077759,0.929810
normal,5218835,0.060669,0.000854,1.100342
normal,5218855,0.059326,0.009521,1.093018
normal,5218875,-0.006470,-0.038208,1.004761
normal,5218895,-0.032593,0.069824,0.909058
normal,5218915,-0.035034,0.068237,0.906372
normal,5218935,0.051880,0.033813,1.070313
normal,5218955,0.046997,0.042969,1.058350
normal,5218975,0.019531,-0.047485,1.051270
normal,5218995,0.026978,-0.046875,1.065308
normal,5219015,-0.033081,0.040649,0.917603
normal,5219035,0.010254,0.016602,0.999634
normal,5219055,0.007813,0.017212,1.001343
normal,5219075,0.004761,0.018433,1.001831
normal,5219095,0.006714,0.014404,1.001831
normal,5219115,-0.016724,0.031006,0.955200
normal,5219135,-0.039917,0.051147,0.906128
normal,5219155,0.043579,0.044434,1.058105
normal,5219175,0.037720,0.052979,1.041260
normal,5219195,0.028320,-0.045532,1.067383
normal,5219215,0.051270,-0.043945,1.078369
normal,5219235,-0.042358,0.035278,0.909058
normal,5219255,0.021851,0.066284,1.008179
normal,5219275,0.014404,0.071411,0.992554
normal,5219295,0.049194,-0.036011,1.098877
normal,5219315,0.053223,-0.029419,1.103516
normal,5219335,-0.034790,0.002808,0.937500
normal,5219355,-0.031128,-0.005127,0.946655
normal,5219375,-0.010010,0.078979,0.945068
normal,5219395,0.059692,0.080444,0.937866
normal,5219415,0.060303,-0.005981,1.102905
normal,5219435,-0.015503,-0.029297,0.983154
normal,5219455,-0.011475,-0.033691,0.993164
normal,5219475,-0.029541,0.073730,0.913086
normal,5219495,-0.032104,0.071045,0.908325
normal,5219515,0.053101,0.027466,1.077271
normal,5219535,0.049683,0.036255,1.067139
normal,5219555,0.014404,-0.047241,1.041748
normal,5219575,-0.039429,0.056519,0.901733
normal,5219595,-0.040527,0.052734,0.902588
normal,5219615,0.036133,0.055908,1.037109
normal,5219635,0.029053,0.061890,1.023438
normal,5219655,0.037598,-0.043091,1.083984
normal,5219675,0.043579,-0.040039,1.092407
normal,5219695,-0.041626,0.023560,0.916870
normal,5219715,0.000732,0.017700,1.007446
normal,5219735,0.008423,0.016724,1.000854
normal,5219755,0.006226,0.020264,0.999878
normal,5219775,0.006348,0.016602,1.000732
normal,5219795,0.005615,0.017090,1.000854
normal,5219815,0.008057,0.017822,1.000854
normal,5219835,0.007568,0.016968,1.002319
normal,5219855,0.006226,0.017212,1.001099
normal,5219875,0.006226,0.017090,1.000732
normal,5219895,0.006104,0.017456,1.001099
normal,5219915,0.006836,0.017822,1.000854
normal,5219935,0.006836,0.017456,1.001099
normal,5219955,0.006348,0.017334,1.001099
normal,5219975,0.006226,0.017334,1.000977
normal,5219995,0.006714,0.017090,1.000854
normal,5220015,0.007324,0.017212,1.000732
normal,5220035,0.006958,0.016846,1.000854
normal,5220055,0.006836,0.017456,1.001953
normal,5220075,0.006104,0.016724,1.001343
normal,5220095,0.006470,0.017090,1.001953
normal,5220115,0.006958,0.017456,1.001099
normal,5220135,0.006958,0.018066,1.001221
normal,5220155,0.015381,0.014771,1.016846
normal,5220175,0.054810,-0.007568,1.093262
normal,5220195,-0.032959,-0.002808,0.935791
normal,5220215,-0.028442,-0.010742,0.952881
normal,5220235,-0.013062,0.077515,0.942627
normal,5220255,0.062012,0.077148,0.933716
normal,5220275,0.060181,0.000610,1.100342
normal,5220295,-0.014282,-0.031006,0.986572
normal,5220315,-0.007690,-0.038208,1.002197
normal,5220335,-0.031372,0.072510,0.910156
normal,5220355,-0.034058,0.068848,0.908691
normal,5220375,0.050903,0.032959,1.071777
normal,5220395,0.048462,0.039307,1.064331
normal,5220415,0.018921,-0.047241,1.049438
normal,5220435,-0.040649,0.054565,1.061523
normal,5220455,-0.042480,0.049927,0.902588
normal,5220475,0.031738,0.059326,1.027710
normal,5220495,0.027222,0.062744,1.017944
normal,5220515,0.041138,-0.040771,1.088257
normal,5220535,0.045166,-0.038818,1.095947
normal,5220555,-0.040283,0.019165,0.921753
normal,5220575,-0.037476,0.008667,0.930786
normal,5220595,0.002075,0.076904,0.968018
normal,5220615,0.057495,-0.024292,1.105835
normal,5220635,0.058472,-0.018677,1.105347
normal,5220655,0.009888,0.011719,0.999023
normal,5220675,0.007080,0.017334,1.000488
normal,5220695,0.009155,0.015747,1.002930
normal,5220715,0.007813,0.017822,1.001709
normal,5220735,0.003540,0.007568,0.990723
normal,5220755,-0.020630,-0.002441,0.944824
normal,5220775,-0.009399,0.074829,0.953491
normal,5220795,0.060181,-0.012817,1.106812
normal,5220815,0.061157,-0.005859,1.102661
normal,5220835,-0.017822,-0.025024,0.976196
normal,5220855,-0.011719,-0.032959,0.991455
normal,5220875,-0.027222,0.073975,0.916260
normal,5220895,-0.031494,0.071167,0.909790
normal,5220915,0.055176,0.025024,1.080811
normal,5220935,0.051636,0.033325,1.071289
normal,5220955,0.013672,-0.046509,1.040771
normal,5220975,-0.039673,0.059204,0.901489
normal,5220995,-0.040283,0.052368,0.903442
normal,5221015,0.036621,0.053955,1.038086
normal,5221035,0.032349,0.059326,1.028076
normal,5221055,0.037354,-0.042480,1.083740
normal,5221075,0.041504,-0.040649,1.089966
normal,5221095,-0.041260,0.024658,0.916748
normal,5221115,-0.048706,0.018311,0.922119
normal,5221135,0.007324,0.074951,0.977905
normal,5221155,0.054687,-0.027100,1.104736
normal,5221175,0.057129,-0.022949,1.106323
normal,5221195,-0.030640,-0.008667,0.951172
normal,5221215,-0.025635,-0.015747,0.961670
normal,5221235,-0.015869,0.076294,0.935181
normal,5221255,-0.021118,0.076782,0.923950
normal,5221275,0.060791,0.003662,1.096680
normal,5221295,-0.009033,0.027100,1.088013
normal,5221315,-0.002319,-0.039795,1.011230
normal,5221335,-0.003906,0.027588,0.991577
normal,5221355,0.002686,0.015991,1.004272
normal,5221375,0.007568,0.015503,1.002075
normal,5221395,0.005127,0.017334,0.999756
normal,5221415,0.006104,0.017578,1.000977
normal,5221435,0.009033,0.017944,1.000610
normal,5221455,0.007324,0.017334,1.000977
normal,5221475,0.006470,0.016602,1.000854
normal,5221495,0.007080,0.017700,1.000854
normal,5221515,0.006592,0.017334,1.000732
normal,5221535,0.006714,0.017700,1.001099
normal,5221555,0.006836,0.016968,1.000610
normal,5221575,0.007202,0.017212,1.000977
normal,5221595,0.007202,0.017700,1.000854
normal,5221615,0.006104,0.016968,1.000610
normal,5221635,0.006958,0.017090,1.000732
normal,5221655,0.006958,0.017090,1.000977
normal,5221675,0.006470,0.017578,1.001221
normal,5221695,0.007202,0.017700,1.000610
normal,5221715,0.006592,0.017700,1.000732
normal,5221735,0.006226,0.017578,1.000732
normal,5221755,0.007813,0.017456,1.001465
normal,5221775,0.008179,0.015259,1.002686
normal,5221795,0.033813,-0.015137,1.044922
normal,5221815,-0.039795,0.044556,0.902466
normal,5221835,0.039917,0.049805,1.043701
normal,5221855,0.032471,0.058228,1.026733
normal,5221875,0.034546,-0.039917,1.077881
normal,5221895,0.010864,-0.077026,1.083618
normal,5221915,-0.015869,0.047119,0.957031
normal,5221935,-0.032104,0.026733,0.935547
normal,5221955,0.011108,0.073608,0.974365
normal,5221975,0.003662,0.073730,0.964111
normal,5221995,0.055786,-0.022827,1.106323
normal,5222015,-0.030518,-0.005371,0.951294
normal,5222035,-0.026611,-0.011597,0.961304
normal,5222055,-0.015137,0.075195,0.931763
normal,5222075,-0.019897,0.074219,0.925049
normal,5222095,0.061279,0.004028,1.094604
normal,5222115,0.060547,0.010010,1.088989
normal,5222135,-0.005127,-0.037231,1.009766
normal,5222155,0.030640,-0.041382,1.024170
normal,5222175,-0.035156,0.065063,0.905640
normal,5222195,0.051514,0.035400,1.063721
normal,5222215,0.047852,0.041260,1.053589
normal,5222235,0.020386,-0.043823,1.056763
normal,5222255,0.027832,-0.043945,1.068481
normal,5222275,0.016602,0.010620,1.001099
